grupo,subcategoria
Alimentação,Comer fora
Alimentação,Supermercado
Compras,Eletrônicos
Compras,Miudezas e diversos
Compras,Móveis
Compras,Outras
Compras,Presentes
Compras,Roupas
Comunicação,Assinaturas
Comunicação,Celular
Doações,Doações
Educação,Cursos
Educação,Eventos
Educação,Livros
Empréstimos,Empréstimos Concedidos
Impostos e taxas,Impostos e taxas
Lazer,Ingressos
Lazer,Pelada
Lazer,Viagens
Moradia,Aluguel
Moradia,Condomínio
Moradia,Energia
Moradia,Financiamento imóvel
Moradia,Gás
Moradia,Internet
Pets,Pets
Receitas,Descontos
Receitas,Estornos
Receitas,Outras
Receitas,Recebimento de empréstimos
Receitas,Reembolsos
Receitas,Rendimentos de investimentos
Receitas,Salário
Receitas,Venda de ativos
Saúde,Academia
Saúde,Consultas e exames
Saúde,Cuidados Pessoais
Saúde,Farmácia
Saúde,Plano de saúde
Saúde,Suplementos
Seguros não-veiculares,Seguros não-veiculares
Transferência interna,Pagamento de Fatura
Transferência interna,Transferência interna
Veículos,Apps de transporte
Veículos,Combustível
Veículos,Estacionamento e pedágio
Veículos,Financiamento veículo
Veículos,Impostos veículo (IPVA e licenciamento)
Veículos,Manutenção veículo
Veículos,Multas
Veículos,Seguro veículo
